,index,property_id,price,bed_no,address,property_type,listed_time,agent,first_station,second_station
18562,670,47664107,565000.0,1.0,"Altura Tower, Battersea, London SW11",flat,2018-05-17 00:00:00,"H&amp;G Property, SW11",Imperial Wharf,Clapham Junction
18563,708,47378640,560000.0,1.0,"Warwick Building, Chelsea Bridge Wharf, London. SW11",flat,2018-04-24 00:00:00,"Garton Jones - Chelsea Bridge Wharf, SW8",Battersea Park,Queenstown Road (Battersea)
18564,813,46792294,560000.0,1.0,"Oswald Building, Chelsea Bridge Wharf, London SW11",flat,2018-02-13 00:00:00,"Garton Jones - Chelsea Bridge Wharf, SW8",Battersea Park,Queenstown Road (Battersea)
18565,646,44983786,560000.0,1.0,"Prince Of Wales Drive, Battersea Park SW11",flat,2018-05-31 00:00:00,"Foxtons - Battersea, SW11",Battersea Park,Queenstown Road (Battersea)
18566,762,46966196,559950.0,1.0,"""Voyager House Type E Fourth Floor"" at York Road, London SW11",flat,2018-03-16 00:00:00,"Linden Homes - Viewpoint, SW11",Clapham Junction,Imperial Wharf
18567,692,47466213,558500.0,1.0,"8 New Union Square, London SW11",flat,2018-05-01 00:00:00,"Zuker Property Ltd., B1",Pimlico,Vauxhall
18568,263,49104669,557000.0,1.0,"Burnelli Building, Chelsea Bridge Wharf, Battersea SW11",flat,2018-09-20 00:00:00,"James Pendleton, Battersea Park &amp; Nine Elms Office, SW11",Battersea Park,Queenstown Road (Battersea)
18569,487,48520409,550000.0,,"Circus Road West, Battersea Power Station, Battersea SW11",house,2018-07-25 00:00:00,"Chase Evans Elephant &amp; Castle, SE1",Battersea Park,Queenstown Road (Battersea)
18570,531,48312332,550000.0,2.0,"Theatre Street, Battersea, London SW11",house,2018-07-10 00:00:00,"James Pendleton, Battersea Northcote Road Office, SW11",Clapham Junction,Queenstown Road (Battersea)
18571,519,48398826,550000.0,2.0,"Sesame Apartments, Battersea SW11",flat,2018-07-16 00:00:00,"Lauristons - Battersea, SW11",Imperial Wharf,Clapham Junction
18572,444,48690065,550000.0,,"Circus Road West, Battersea Power Station, London SW11",house,2018-08-10 00:00:00,"LiFE Residential - Nine Elms Riverside, SW8",Battersea Park,Queenstown Road (Battersea)
18573,417,48784677,550000.0,2.0,"Abercrombie Street, London SW11",flat,2018-08-20 00:00:00,"Marsh &amp; Parsons - Battersea, SW11",Clapham Junction,Imperial Wharf
